Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
HUM,029-33-59.4100N,090-39-37.5400W,ALL/ALL/0600-1900,12/30,4999,185,CONC-G,MED,50,70,137,,G
HUM,029-33-59.4100N,090-39-37.5400W,ALL/ALL/0600-1900,18/36,6508,150,CONC-G,MED,116,224,406,907,G
LFT,030-12-18.1000N,091-59-15.9000W,ALL/ALL/ALL,04L/22R,4099,75,ASPH-F,MED,25,32,,,F
LFT,030-12-18.1000N,091-59-15.9000W,ALL/ALL/ALL,04R/22L,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,030-12-18.1000N,091-59-15.9000W,ALL/ALL/ALL,11/29,5400,148,ASPH-G,MED,85,110,175,,G
NEW,030-02-32.7000N,090-01-41.7000W,ALL/ALL/ALL,09/27,3114,75,ASPH-F,MED,50,80,100,,G
NEW,030-02-32.7000N,090-01-41.7000W,ALL/ALL/ALL,18R/36L,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,030-02-32.7000N,090-01-41.7000W,ALL/ALL/ALL,18L/36R,3697,75,ASPH-G,MED,35,55,80,,G
MLU,032-30-38.0000N,092-02-10.0800W,ALL/ALL/ALL,04/22,7504,150,ASPH-G,HIGH,75,170,290,,G
MLU,032-30-38.0000N,092-02-10.0800W,ALL/ALL/ALL,14/32,6301,150,ASPH-G,MED,75,170,290,,G
SHV,032-26-47.4600N,093-49-33.7400W,ALL/ALL/ALL,06/24,7003,150,ASPH-E,MED,75,158,280,,G
SHV,032-26-47.4600N,093-49-33.7400W,ALL/ALL/ALL,14/32,8348,200,ASPH-E,HIGH,75,190,400,,G
TVR,032-21-05.8000N,091-01-39.6800W,ALL/ALL/0700-1900,18/36,5002,100,ASPH-G,MED,60,75,,,G
AQW,042-41-46.5100N,073-10-13.9900W,ALL/ALL/0800-1630,11/29,4300,100,ASPH-E,MED,25,,,,G
