Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
TVL,038-53-38.0000N,119-59-43.2000W,AIRPORT,Y-L,18/36,1,8541,100,ASPH-E,MED,70,125,210,,G
SCK,037-53-39.8800N,121-14-19.4600W,AIRPORT,Y-L,11L/29R,3,10249,150,ASPH-G,HIGH,40,150,360,650,G
SCK,037-53-39.8800N,121-14-19.4600W,AIRPORT,Y-L,11R/29L,3,4448,75,ASPH-G,,12,,,,G
SCK,037-53-39.8800N,121-14-19.4600W,AIRPORT,Y-L,H1,3,70,70,CONC-G,,45,55,,,
TOA,033-48-12.1800N,118-20-22.5900W,AIRPORT,Y-L,11L/29R,3,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,033-48-12.1800N,118-20-22.5900W,AIRPORT,Y-L,11R/29L,3,3000,75,ASPH-CONC-F,MED,28,,,,F
TRK,039-19-12.2000N,120-08-22.5000W,AIRPORT,Y-L,02/20,2,4654,75,ASPH-G,MED,35,50,,,G
TRK,039-19-12.2000N,120-08-22.5000W,AIRPORT,Y-L,11/29,2,7001,100,ASPH-G,MED,50,80,,,G
UKI,039-07-33.4000N,123-12-03.1000W,AIRPORT,Y-L,15/33,1,4423,150,ASPH-E,MED,28,,,,G
VNY,034-12-35.3000N,118-29-23.9000W,AIRPORT,Y-L,16R/34L,2,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,034-12-35.3000N,118-29-23.9000W,AIRPORT,Y-L,16L/34R,2,4013,75,ASPH-G,MED,14,,,,F
WVI,036-56-08.6400N,121-47-22.7000W,AIRPORT,Y-L,09/27,2,3998,98,ASPH-F,,45,65,,,F
WVI,036-56-08.6400N,121-47-22.7000W,AIRPORT,Y-L,02/20,2,4502,149,ASPH-E,MED,81,96,167,,G
ALS,037-26-06.4500N,105-52-04.3500W,AIRPORT,Y-L,02/20,1,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,039-13-18.8000N,106-52-05.6000W,AIRPORT,Y-L,15/33,2,8006,100,ASPH-G,MED,80,100,160,,G
